game_pk,excluded,n_innings,max_runs,highest_inning,home_sp_id_actual,away_sp_id_actual,inning_1_runs,inning_2_runs,inning_3_runs,inning_4_runs,inning_5_runs,inning_6_runs,inning_7_runs,inning_8_runs,inning_9_runs
824940,False,9,4.0,4,519242.0,622663.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
824860,False,9,3.0,5,669432.0,543135.0,0.0,2.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0
824536,False,9,4.0,9,671096.0,694973.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0
823483,True,10,,,,,,,,,,,,,
822835,True,10,,,,,,,,,,,,,
823889,False,9,4.0,1,645261.0,681343.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
823078,True,11,,,,,,,,,,,,,
823806,False,9,6.0,8,694819.0,656876.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0
824211,False,9,3.0,tie,681347.0,676979.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0
824698,False,9,5.0,3,571510.0,579328.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0
825106,False,9,1.0,1,668678.0,669373.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823321,False,9,4.0,8,601713.0,605288.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0
823157,False,9,3.0,6,669923.0,693645.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0
824136,False,9,7.0,6,702070.0,657746.0,0.0,3.0,1.0,1.0,1.0,7.0,4.0,2.0,3.0
823970,False,9,2.0,tie,808967.0,668909.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0
824133,False,9,3.0,9,666142.0,671737.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
825105,False,9,8.0,5,669194.0,625643.0,1.0,0.0,2.0,0.0,8.0,2.0,0.0,0.0,6.0
823242,False,9,4.0,1,592662.0,656849.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
822758,False,9,6.0,3,571945.0,686218.0,3.0,0.0,6.0,2.0,4.0,0.0,1.0,2.0,1.0
824299,False,9,2.0,4,664285.0,700241.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
823568,False,9,3.0,1,701542.0,691587.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0
824786,False,9,3.0,6,543243.0,650633.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0
824621,True,10,,,,,,,,,,,,,
822919,False,9,4.0,2,669022.0,663903.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
824458,False,9,3.0,7,676282.0,690990.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
823732,False,9,7.0,7,641927.0,671212.0,2.0,0.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0
824377,False,9,7.0,1,547179.0,605400.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
823406,False,9,4.0,2,656605.0,680694.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0
824056,True,10,,,,,,,,,,,,,
825026,False,9,6.0,4,605488.0,664299.0,0.0,1.0,4.0,6.0,1.0,0.0,1.0,0.0,2.0
825103,False,9,2.0,9,593958.0,656550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
823240,False,9,3.0,tie,641816.0,690997.0,2.0,0.0,0.0,3.0,0.0,2.0,3.0,1.0,2.0
824622,False,9,5.0,6,691799.0,689254.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0
824132,False,9,3.0,3,679883.0,694477.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
824134,False,9,6.0,6,607625.0,701656.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0
822757,False,9,3.0,tie,663623.0,607192.0,2.0,3.0,2.0,1.0,3.0,0.0,1.0,2.0,1.0
825027,False,9,3.0,tie,806960.0,837227.0,2.0,0.0,2.0,3.0,0.0,3.0,0.0,1.0,0.0
823404,False,9,3.0,4,669387.0,669358.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0
824782,False,9,2.0,2,813349.0,681190.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
822920,False,9,2.0,1,677958.0,695076.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823569,False,9,5.0,8,677960.0,676974.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0,5.0,1.0
823730,False,9,4.0,2,690953.0,571927.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0
825104,False,9,3.0,2,647336.0,693821.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824378,False,9,1.0,tie,657514.0,666200.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
823239,False,9,5.0,5,694738.0,605280.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0
824054,False,9,1.0,1,686799.0,676106.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824459,False,9,1.0,8,677944.0,665795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
824460,False,9,5.0,6,800048.0,684007.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,4.0,1.0
822756,False,9,4.0,tie,656492.0,808963.0,0.0,0.0,3.0,4.0,0.0,2.0,0.0,4.0,1.0
823405,False,9,4.0,2,677952.0,605135.0,2.0,4.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0
824781,False,9,4.0,3,624133.0,621111.0,0.0,0.0,4.0,3.0,3.0,0.0,2.0,1.0,1.0
823566,False,9,4.0,tie,608331.0,664126.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0
823729,True,10,,,,,,,,,,,,,
824620,False,9,1.0,tie,663436.0,641778.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
824131,False,9,5.0,7,663460.0,690986.0,3.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,2.0
822917,False,9,1.0,tie,683004.0,695505.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
824379,False,9,3.0,1,608372.0,592836.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
825025,True,10,,,,,,,,,,,,,
823238,False,9,4.0,8,657277.0,673540.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0
824053,True,11,,,,,,,,,,,,,
825102,True,10,,,,,,,,,,,,,
824296,False,9,4.0,5,672456.0,681517.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0
823002,False,9,5.0,2,663556.0,592791.0,0.0,5.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0
824456,False,9,3.0,8,676440.0,608379.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0
823401,False,9,2.0,5,696149.0,608566.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0
823886,False,9,1.0,tie,676083.0,682227.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
822755,False,9,9.0,8,641793.0,669467.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,9.0,0.0
824783,False,9,6.0,4,678394.0,605540.0,1.0,0.0,2.0,6.0,1.0,0.0,0.0,2.0,2.0
822832,False,9,4.0,7,453286.0,680736.0,3.0,0.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0
823728,False,9,5.0,4,657746.0,663554.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0
824619,False,9,1.0,tie,691799.0,687064.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
822918,False,9,2.0,1,594798.0,669302.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
824376,False,9,8.0,5,663372.0,675989.0,2.0,0.0,0.0,1.0,8.0,2.0,1.0,2.0,0.0
824052,False,9,3.0,4,667755.0,519242.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0
823237,False,9,4.0,7,605288.0,691725.0,0.0,0.0,3.0,1.0,2.0,0.0,4.0,0.0,0.0
824457,False,9,1.0,tie,668909.0,702070.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
824618,False,9,3.0,8,681343.0,669432.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0
823648,True,10,,,,,,,,,,,,,
823402,False,9,5.0,8,694973.0,601713.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0
822999,False,9,3.0,8,669438.0,665871.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0
823887,True,10,,,,,,,,,,,,,
822754,True,10,,,,,,,,,,,,,
824780,False,9,3.0,6,676979.0,694819.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
823567,False,9,4.0,8,693645.0,650644.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0
822831,False,9,2.0,3,592332.0,808967.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0
823727,False,9,4.0,5,671737.0,669373.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0
822916,False,9,4.0,5,543135.0,669923.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
824375,False,9,2.0,tie,607536.0,681347.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
824051,False,9,3.0,4,579328.0,625643.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0
823235,False,9,2.0,tie,592662.0,650911.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0
823403,False,9,6.0,7,656605.0,650633.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0
824455,False,9,5.0,8,676282.0,666142.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0
824779,False,9,3.0,3,543243.0,675660.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
824617,False,9,2.0,tie,680732.0,680694.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0
