game_pk,r1_home_runs,r1_away_runs,r1_total_runs,over_0_5,home_sp_id_actual,away_sp_id_actual
824940,0,0,0,0,519242.0,622663.0
824860,0,0,0,0,669432.0,543135.0
824536,0,3,3,1,671096.0,694973.0
823483,1,0,1,1,650911.0,676917.0
822835,0,0,0,0,592332.0,607536.0
823889,4,0,4,1,645261.0,681343.0
823078,0,0,0,0,669461.0,642547.0
823806,0,0,0,0,694819.0,656876.0
824211,2,1,3,1,681347.0,676979.0
824698,0,0,0,0,571510.0,579328.0
825106,1,0,1,1,668678.0,669373.0
823321,1,0,1,1,601713.0,605288.0
823157,0,1,1,1,669923.0,693645.0
824136,0,0,0,0,702070.0,657746.0
823970,0,0,0,0,808967.0,668909.0
824133,0,0,0,0,666142.0,671737.0
825105,0,1,1,1,669194.0,625643.0
823242,3,1,4,1,592662.0,656849.0
822758,3,0,3,1,571945.0,686218.0
824299,0,0,0,0,664285.0,700241.0
823568,2,1,3,1,701542.0,691587.0
824786,0,0,0,0,543243.0,650633.0
824621,1,0,1,1,691799.0,656302.0
822919,0,0,0,0,669022.0,663903.0
824458,0,0,0,0,676282.0,690990.0
823732,0,2,2,1,641927.0,671212.0
824377,0,7,7,1,547179.0,605400.0
823406,0,0,0,0,656605.0,680694.0
824056,0,0,0,0,672282.0,693433.0
825026,0,0,0,0,605488.0,664299.0
825103,0,0,0,0,593958.0,656550.0
823240,0,2,2,1,641816.0,690997.0
824622,1,0,1,1,691799.0,689254.0
824132,0,2,2,1,679883.0,694477.0
824134,0,0,0,0,607625.0,701656.0
822757,0,2,2,1,663623.0,607192.0
825027,0,2,2,1,806960.0,837227.0
823404,0,0,0,0,669387.0,669358.0
824782,0,0,0,0,813349.0,681190.0
822920,0,2,2,1,677958.0,695076.0
823569,0,2,2,1,677960.0,676974.0
823730,0,0,0,0,690953.0,571927.0
825104,0,0,0,0,647336.0,693821.0
824378,0,1,1,1,657514.0,666200.0
823239,0,0,0,0,694738.0,605280.0
824054,1,0,1,1,686799.0,676106.0
824459,0,0,0,0,677944.0,665795.0
824460,0,0,0,0,800048.0,684007.0
822756,0,0,0,0,656492.0,808963.0
823405,2,0,2,1,677952.0,605135.0
824781,0,0,0,0,624133.0,621111.0
823566,3,1,4,1,608331.0,664126.0
823729,0,0,0,0,680573.0,607259.0
824620,1,0,1,1,663436.0,641778.0
824131,0,3,3,1,,
822917,0,0,0,0,683004.0,695505.0
824379,3,0,3,1,608372.0,592836.0
825025,0,0,0,0,682052.0,621121.0
823238,0,0,0,0,657277.0,673540.0
824053,1,0,1,1,691946.0,622491.0
825102,1,1,2,1,694297.0,527048.0
824296,0,0,0,0,672456.0,681517.0
823002,0,0,0,0,663556.0,592791.0
824456,0,0,0,0,676440.0,608379.0
823401,0,0,0,0,696149.0,608566.0
823886,0,0,0,0,676083.0,682227.0
822755,2,0,2,1,641793.0,669467.0
824783,1,0,1,1,678394.0,605540.0
822832,1,2,3,1,453286.0,680736.0
823728,0,0,0,0,657746.0,663554.0
824619,0,0,0,0,691799.0,687064.0
822918,1,1,2,1,594798.0,669302.0
824376,0,2,2,1,663372.0,675989.0
824052,1,1,2,1,667755.0,519242.0
823237,0,0,0,0,605288.0,691725.0
824457,0,0,0,0,668909.0,702070.0
824618,0,0,0,0,681343.0,669432.0
823648,1,0,1,1,642547.0,668678.0
823402,0,0,0,0,694973.0,601713.0
822999,0,0,0,0,669438.0,665871.0
823887,0,0,0,0,645261.0,671096.0
822754,1,2,3,1,676917.0,669461.0
824780,0,0,0,0,676979.0,694819.0
823567,0,0,0,0,693645.0,650644.0
822831,0,0,0,0,592332.0,808967.0
823727,0,0,0,0,671737.0,669373.0
822916,0,1,1,1,543135.0,669923.0
824375,0,0,0,0,607536.0,681347.0
824051,2,0,2,1,579328.0,625643.0
823235,1,0,1,1,592662.0,650911.0
823403,0,0,0,0,656605.0,650633.0
824455,3,0,3,1,676282.0,666142.0
824779,0,0,0,0,543243.0,675660.0
824617,0,0,0,0,680732.0,680694.0
822915,0,0,0,0,669022.0,693433.0
822833,0,0,0,0,656302.0,660271.0
824374,1,0,1,1,547179.0,664299.0
823234,0,0,0,0,641816.0,605400.0
822753,0,0,0,0,571945.0,700241.0
824050,0,1,1,1,672282.0,656550.0
823646,0,1,1,1,656849.0,669194.0
823000,0,1,1,1,671212.0,607067.0
823885,2,2,4,1,691587.0,663903.0
823564,2,0,2,1,701542.0,622663.0
823726,6,0,6,1,641927.0,664285.0
823884,1,0,1,1,676974.0,695076.0
823565,0,0,0,0,677960.0,605488.0
823724,0,0,0,0,690953.0,656427.0
823645,1,0,1,1,690997.0,593958.0
824130,0,0,0,0,607625.0,641743.0
823319,0,0,0,0,681190.0,623474.0
824695,0,0,0,0,684007.0,669387.0
823482,4,0,4,1,666200.0,647336.0
824297,0,0,0,0,672456.0,663978.0
824534,0,0,0,0,695505.0,686799.0
822829,0,3,3,1,571578.0,680573.0
823643,0,0,0,0,605280.0,669372.0
822997,2,2,4,1,571927.0,661563.0
824858,0,0,0,0,669358.0,694738.0
824941,0,0,0,0,693821.0,677944.0
824128,0,0,0,0,663460.0,663436.0
823808,3,2,5,1,676879.0,663623.0
823076,0,0,0,0,669160.0,813349.0
823318,0,0,0,0,621111.0,608372.0
823156,3,0,3,1,676106.0,837227.0
823968,0,0,0,0,607192.0,677958.0
823480,0,2,2,1,592836.0,694297.0
824294,2,0,2,1,663554.0,676083.0
824697,0,0,0,0,665795.0,677952.0
822830,2,0,2,1,641778.0,657746.0
824535,4,0,4,1,682227.0,691946.0
823644,1,0,1,1,673540.0,682052.0
824129,1,0,1,1,608379.0,607200.0
822996,0,0,0,0,607259.0,608331.0
823805,0,0,0,0,690986.0,656492.0
824857,0,0,0,0,605135.0,657277.0
823074,0,0,0,0,681517.0,624133.0
824939,0,1,1,1,527048.0,800048.0
823316,0,2,2,1,608566.0,663372.0
823967,4,1,5,1,,
823155,2,0,2,1,622491.0,621121.0
824859,2,0,2,1,700249.0,605288.0
823479,0,0,0,0,647315.0,668678.0
822828,1,0,1,1,453286.0,671737.0
824533,0,3,3,1,671096.0,667755.0
823642,0,0,0,0,642547.0,650644.0
824293,3,0,3,1,669373.0,645261.0
822998,1,0,1,1,656876.0,693645.0
824126,0,0,0,0,702070.0,691799.0
823804,0,0,0,0,605540.0,641793.0
823075,0,2,2,1,669467.0,678394.0
824696,0,1,1,1,592791.0,696149.0
823317,1,0,1,1,601713.0,607536.0
823154,1,0,1,1,669302.0,675989.0
823966,1,0,1,1,808963.0,594798.0
824938,0,0,0,0,,
823153,3,0,3,1,669923.0,681347.0
824856,0,1,1,1,665152.0,669194.0
823400,0,1,1,1,694973.0,676917.0
823481,1,0,1,1,650911.0,665871.0
823563,2,0,2,1,701542.0,579328.0
824937,0,0,0,0,656550.0,691587.0
823725,4,0,4,1,641927.0,676979.0
823073,1,1,2,1,669461.0,668909.0
825024,0,3,3,1,622663.0,543135.0
823964,1,0,1,1,680736.0,656849.0
824853,0,0,0,0,669432.0,518876.0
824292,0,0,0,0,664285.0,666142.0
823398,1,3,4,1,656605.0,676571.0
824531,0,0,0,0,663903.0,592662.0
823478,0,0,0,0,605400.0,702303.0
823562,0,3,3,1,677960.0,672282.0
824935,0,1,1,1,625643.0,676974.0
823723,1,0,1,1,690953.0,543243.0
824616,0,3,3,1,702273.0,663556.0
823802,0,0,0,0,694819.0,592332.0
823072,1,1,2,1,700241.0,676282.0
824210,0,1,1,1,676467.0,547179.0
823315,0,0,0,0,650633.0,693433.0
825022,0,1,1,1,605488.0,669022.0
823965,1,1,2,1,808967.0,690997.0
824855,0,0,0,0,680694.0,593958.0
823071,0,1,1,1,669160.0,677944.0
823722,1,0,1,1,680573.0,813349.0
824291,0,0,0,0,656427.0,607625.0
823399,2,0,2,1,682254.0,663623.0
824532,4,0,4,1,695076.0,641816.0
823477,1,0,1,1,666200.0,684007.0
823561,1,0,1,1,661563.0,686799.0
824936,0,0,0,0,693821.0,663978.0
824615,0,0,0,0,680732.0,642121.0
823803,0,1,1,1,694477.0,656302.0
824209,2,0,2,1,681293.0,500779.0
823314,0,0,0,0,681190.0,676106.0
825021,1,0,1,1,669372.0,677958.0
823963,0,0,0,0,660271.0,605280.0
823396,0,0,0,0,677952.0,656492.0
824530,0,0,0,0,695505.0,694738.0
824289,0,0,0,0,672456.0,663460.0
823560,1,2,3,1,608331.0,608718.0
823801,0,0,0,0,687075.0,571578.0
824614,0,0,0,0,673929.0,571927.0
825023,0,0,0,0,682052.0,683004.0
824453,2,0,2,1,800048.0,669358.0
824208,2,0,2,1,680802.0,675848.0
823313,0,0,0,0,621111.0,622491.0
824693,4,0,4,1,665795.0,673540.0
824454,0,0,0,0,676440.0,605135.0
823476,0,2,2,1,592836.0,527048.0
822752,0,0,0,0,641793.0,657277.0
823397,0,0,0,0,696149.0,607259.0
823559,0,0,0,0,693645.0,608379.0
823883,0,0,0,0,676083.0,689441.0
824778,0,0,0,0,624133.0,663554.0
824207,0,1,1,1,663567.0,681517.0
823720,0,0,0,0,657746.0,682227.0
824373,0,1,1,1,608372.0,607192.0
824048,0,0,0,0,667755.0,663362.0
823152,0,1,1,1,669302.0,594798.0
825101,0,0,0,0,647336.0,680755.0
825019,0,1,1,1,650644.0,663436.0
823558,0,0,0,0,701542.0,702070.0
823721,2,0,2,1,671737.0,671096.0
824694,0,0,0,0,592791.0,642547.0
823394,2,0,2,1,694973.0,656876.0
822751,1,0,1,1,676917.0,605288.0
825020,0,0,0,0,622663.0,607200.0
824775,0,1,1,1,678394.0,669373.0
823882,0,0,0,0,645261.0,605540.0
824451,0,0,0,0,668909.0,665152.0
824206,1,2,3,1,621121.0,669467.0
823151,1,0,1,1,669923.0,543135.0
823474,0,0,0,0,650911.0,519242.0
824372,1,2,3,1,663372.0,686218.0
